city,lat,lng,province,country,Cairo,Cairo_r,Giza,Giza_r,Alexandria,Alexandria_r,6th October city,6th October city_r,Shubrā al Khaymah,Shubrā al Khaymah_r,Al Manşūrah,Al Manşūrah_r,Ḩalwān,Ḩalwān_r,Al Maḩallah al Kubrá,Al Maḩallah al Kubrá_r,Port Said,Port Said_r,Suez,Suez_r,Ţanţā,Ţanţā_r,Az Zaqāzīq,Az Zaqāzīq_r,Ismailia,Ismailia_r,Kafr ad Dawwār,Kafr ad Dawwār_r,Damanhūr,Damanhūr_r,Damietta,Damietta_r,Shibīn al Kawm,Shibīn al Kawm_r,Banhā,Banhā_r,Kafr ash Shaykh,Kafr ash Shaykh_r,Disūq,Disūq_r,Bilbays,Bilbays_r,Mīt Ghamr,Mīt Ghamr_r,Munūf,Munūf_r,Rosetta,Rosetta_r,Maţrūḩ,Maţrūḩ_r,Hihyā,Hihyā_r,Şān al Ḩajar al Qiblīyah,Şān al Ḩajar al Qiblīyah_r,Fāraskūr,Fāraskūr_r,Al Ḩusaynīyah,Al Ḩusaynīyah_r,Safājā,Safājā_r,Qahā,Qahā_r,Hirrīyat Raznah,Hirrīyat Raznah_r,Kafr Shukr,Kafr Shukr_r,Sīwah,Sīwah_r,Shārūnah,Shārūnah_r,Madinat as-Sadat,Madinat as-Sadat_r,Fayed,Fayed_r,Itay Al Barud,Itay Al Barud_r,Abu Al Matamir,Abu Al Matamir_r,An Nubariyah,An Nubariyah_r,10th of Ramadan City,10th of Ramadan City_r,El Obour City,El Obour City_r,El-Qantara el-Sharqîya,El-Qantara el-Sharqîya_r,Samadun,Samadun_r
Bilbays,30.4167,31.5667,Ash Sharqīyah,Egypt,50.89729777547629,,58.624947180902346,,180.19831035897147,,81.45994658614553,,44.66491759526412,,72.3742816523681,,67.54308792963869,,72.01871837864589,,115.04304337034503,,105.60768557254546,,67.86269486381423,,17.819496414924952,28.633,69.69101726348826,,159.52115763549136,,126.59770540374554,,113.50957131954372,,66.88507102470147,,37.524095971996445,42.599,96.0467842962989,,118.33732785489045,,0.0,,44.43631743234919,,61.09384467087299,,154.74665674398221,,426.6410276621659,,28.02954316586763,47.789,68.97901788054062,,102.2065004821253,,59.740650877186674,,467.54933749378176,,38.23261360253643,61.225,20.824667302730617,44.225,32.17257470803487,51.415,600.1229364199243,,213.60064071102565,,99.19935137353312,,72.28896654581894,,101.43235356180965,,144.29082859974915,,147.03143648184107,,22.306585591594,32.582,24.260756317523594,32.314,88.49076245687132,,59.37023833426586,
Mīt Ghamr,30.7192,31.2628,Ad Daqahlīyah,Egypt,73.54500075230568,,81.31849472551126,,139.22017960670743,,92.62781493289881,,65.50359743671883,,38.442306926713805,45.935,97.49732675770964,,28.938519645478575,41.293,113.86375236781207,,147.92575545122776,,26.147652551111,31.41,28.33428546503783,30.841,97.39588652056001,,118.209209835771,,84.49619473288914,,93.92680019411921,,37.52346915257297,70.047,29.521351560682835,35.252,51.73506296211236,,74.40732104495409,,44.43631743234919,,0.0,,42.21668288542867,,110.45564864470897,,390.6824889534785,,31.882082256082114,45.756,65.58802759268976,,80.26866872334314,,64.74955089001284,,511.2851858811253,,48.698876191558355,,29.29408334088736,36.848,19.095513495711078,20.85,579.5606051876562,,238.91104706876322,,79.12520030389426,,110.12627517388279,,60.800993170948374,,106.38286178724456,,115.14511301426803,,66.62362566263063,,59.427506015411765,,103.01719713957654,,51.51318738521404,
Munūf,30.4667,30.9333,Al Minūfīyah,Egypt,54.21774710840251,,59.55372811251523,,126.76057287842107,,58.82334093743975,,47.83105809034019,,77.70579802337518,,79.30218360038177,,59.77071932765519,,155.60538588534524,,163.70818621163988,,35.677044102991196,43.527,55.5114847702363,,128.62262587987436,,107.47590595218769,,78.59814633929278,,135.26165107833228,,14.25381447315047,18.211,23.66660561928087,37.077,70.22947602939713,,78.52924515033537,,61.09384467087299,,42.21668288542867,,0.0,,114.67739221884824,,366.5273389230996,,66.89665047256834,,106.87020768885917,,121.38869414195173,,104.0995146468491,,505.58252993984223,,32.71929180086774,59.559,59.88497050906982,,33.27431507396945,50.197,541.9353684082142,,207.7297158332833,,39.35299289347681,54.068,133.31021361868255,,53.29732330024055,,87.81690903590098,,86.50375931268735,,80.14071366553898,,58.7654671070082,,140.7033711393739,,14.419060045537023,19.799
Rosetta,31.4014,30.4194,Al Buḩayrah,Egypt,168.55768208428407,,174.2158484873246,,52.81174311444387,65.492,169.57212490864694,,161.60609223192435,,99.76096160594913,,193.8642351659444,,86.00547166375557,,178.19271806791937,,257.52575437030987,,88.11898654988039,,138.62835368527246,,198.38304408119856,,40.04286974615553,61.011,39.220676244745995,61.618,133.33190655119728,,100.79521232063597,,126.91878766807682,,60.58998507917649,,37.06384948029684,51.855,154.74665674398221,,110.45564864470897,,114.67739221884824,,0.0,,303.1968377111768,,138.19044250546554,,146.95639844133692,,123.48769037156524,,155.05387567123853,,618.5430431264964,,144.71276133904686,,138.69022746637012,,124.6346740403079,,530.9266247386304,,313.98790510243134,,113.40799216604375,,217.42056242388435,,61.68850946195881,,59.42298854151863,91.817,88.07830914284236,,177.01994456095204,,165.65572201242574,,190.89454576875187,,128.5596271230849,
Maţrūḩ,31.3333,27.2333,Maţrūḩ,Egypt,409.06440584138204,,409.4404550171292,,255.9808578394988,314.355,386.45903887368814,,406.47175128821186,,396.7690199041528,,426.6261859000463,,377.24217087607633,,480.8690335932199,,530.0539108288816,,364.6317553238151,,416.43466760083277,,488.0083816076589,,276.50154485295093,334.077,309.7691362085823,,436.5252578572459,,359.8131330657324,,389.41982909656355,,355.08186919100507,,326.0770750382967,,426.6410276621659,,390.6824889534785,,366.5273389230996,,303.1968377111768,,0.0,,422.5597133847648,,444.78448574331566,,426.4758618612003,,450.0676688284445,,826.6263420561379,,397.0115665979295,,419.0473480754245,,395.2117752091185,,288.45606511784484,307.474,462.7330568755729,,332.88384449249133,,498.62158818847604,,330.3514373369851,,284.30825662850145,354.105,280.03764273217297,352.167,446.64312109760294,,424.1555673248276,,488.3306863503001,,372.7910388669431,
Hihyā,30.6687,31.5904,Ash Sharqīyah,Egypt,75.83270473085119,,83.88501638229826,,170.45358922358955,,103.29128770794938,,68.59060537417999,,46.68412752564967,,94.91470272503285,,52.29874820551479,,92.39202398356403,,119.49870095666157,,57.95596033892077,,14.247897936216333,17.9,65.52769845024994,,149.38499441408393,,115.48947420797063,,85.81256959787758,,66.73295907900813,,45.534828186281445,,77.69241023216053,,103.65235794843177,,28.02954316586763,32.727,31.882082256082114,44.345,66.89665047256834,,138.19044250546554,,422.5597133847648,,0.0,,43.99215509039858,,74.23996774647873,,38.015203812859426,45.69,490.79528057196103,,56.839744931063706,,8.909901473715932,9.449,33.793157889669246,44.5,608.4980604897916,,240.8427529111005,,106.10234834341271,,79.56220051831772,,92.49951975219135,,138.25461355507957,,146.4339929370269,,45.15158297750052,,51.668396739337666,,73.81664526051627,,71.10123502490325,
Şān al Ḩajar al Qiblīyah,30.9769,31.8800,Ash Sharqīyah,Egypt,119.1677263466576,,127.11860817343504,,188.95354465842493,,147.28154597055183,,112.20059552222803,,48.11770830734048,62.351,136.31688165017565,,68.15249532548286,,48.95755441962769,100.561,128.36429757871315,,86.842714382619,,58.23650168123339,69.337,57.22180247367672,87.409,168.2891576486713,,135.19943260944055,,49.08068135316082,64.41,103.05334897826417,,88.0207424440522,,89.82591017307766,,118.8353193124947,,68.97901788054062,,65.58802759268976,,106.87020768885917,,146.95639844133692,,444.78448574331566,,43.99215509039858,51.851,0.0,,42.17180166531579,52.458,13.358131166802222,18.642,509.3528515606116,,100.81020312141237,,52.88369208385128,60.886,75.58150860572681,,644.153139382829,,282.2343094946197,,144.69347030998108,,84.51099691218737,,117.36177862237385,,163.29162876051174,,177.2302062630968,,78.15986069372683,,93.20947528067272,,44.018755106565386,91.547,113.4151129937316,
Fāraskūr,31.3297,31.7147,Dumyāţ,Egypt,148.35778130486906,,156.4648699996376,,171.84103156194973,,171.96902076516616,,140.63847415676315,,44.26552929172318,53.567,168.92994910840645,,65.95731677572951,,54.855145134907744,67.233,170.26296987861275,,91.23215641380447,,87.04490985047894,,98.13063594460579,,152.66704756255817,,122.9275592016453,,14.00285227032536,16.12,112.90697868029274,,108.87414222371329,,77.18992966267228,,104.0027389774804,,102.2065004821253,,80.26866872334314,,121.38869414195173,,123.48769037156524,,426.4758618612003,,74.23996774647873,,42.17180166531579,52.471,0.0,,55.479933279642076,69.331,551.5060489898976,,126.03299008493879,,82.35538330984824,,96.73787788448661,,641.3223614503556,,314.48830920870654,,154.0642034094662,,126.45459776597625,,112.3797346836939,,154.2677161857053,,173.98124886782526,,116.13045379600267,,125.84433289912548,,77.14160662996944,,131.75015229872423,
Al Ḩusaynīyah,30.8612,31.9190,Ash Sharqīyah,Egypt,110.57130314602624,,118.35662723043184,,194.81942341453484,,140.02425348600778,,104.00877065728332,,55.29987661113823,,126.21268730035618,,72.85715409942294,,55.38271086853089,,115.39989108574721,,88.35365071620086,,51.73804476160231,,45.36823485039065,,173.9227044954397,,140.3338257880647,,62.28864616855613,,102.0562089229292,,83.49290463285682,,96.27390728934581,,125.02523051722275,,59.740650877186674,,64.74955089001284,,104.0995146468491,,155.05387567123853,,450.0676688284445,,38.015203812859426,46.801,13.358131166802222,18.668,55.479933279642076,,0.0,,496.1108252463285,,94.13644704903824,,46.4508250800874,,71.49152481375576,,644.2973644501357,,271.6996978175712,,142.86626937417668,,71.55765947320421,,120.73313777913941,,167.03014840157903,,179.02135079024086,,66.43328524732976,,83.62669542771395,,38.79195066773317,71.812,109.07364109913087,
Safājā,26.7517,33.9344,Al Baḩr al Aḩmar,Egypt,451.4611251470717,,446.93194701493223,,629.4793791305125,,459.84103599004436,,457.7929702815186,,537.4072882706699,,426.9744236189983,,539.5379178464865,,523.8629770257651,,381.84985024302705,,530.7609749903961,,485.1468283692777,,454.8512706411001,,611.8538855437813,,584.1508800921076,,556.437638672969,,518.7076769419814,,491.6349599150364,,562.9121474376259,,581.49372745277,,467.54933749378176,,511.2851858811253,,505.58252993984223,,618.5430431264964,,826.6263420561379,,490.79528057196103,,509.3528515606116,,551.5060489898976,,496.1108252463285,,0.0,,474.1231845245691,,486.85926067674495,,494.8477908594255,,871.2099555152803,,366.27962810589815,466.288,522.0537268343293,,425.312723732937,,558.5724831348052,,589.0290222746173,,575.7596138579872,,446.3775617828756,,453.2415326033068,,483.00161844310287,,492.85156898414033,
Qahā,30.2833,31.2000,Al Qalyūbīyah,Egypt,25.470641380163656,28.339,32.865927738349896,43.726,159.4670069078728,,46.628138520411305,,17.624204372780838,21.359,86.79542181815785,,50.61291507290251,,75.83104505383282,,149.13591312922458,,133.189858038019,,58.65954923986023,,42.63515228699025,,107.73321167154283,,140.05839009321969,,110.28770477131074,,139.00475190283058,,44.739796929213036,,19.994589404633384,26.526,93.65735354540514,,107.81979292519674,,38.23261360253643,72.56,48.698876191558355,,32.71929180086774,61.028,144.71276133904686,,397.0115665979295,,56.839744931063706,,100.81020312141237,,126.03299008493879,,94.13644704903824,,474.1231845245691,,0.0,,47.99629099248118,,29.940258572099985,39.319,562.6665266022268,,190.27355519486832,,64.89059886882615,,106.69624797492435,,84.54002055380549,,120.47202813327989,,117.3020218395594,,51.90649877156013,,27.156120888798075,54.773,126.10221704634186,,24.268800126067905,64.797
Hirrīyat Raznah,30.6028,31.5372,Ash Sharqīyah,Egypt,67.03157388796349,,75.10080050598967,,168.476305661106,,94.39853968692303,,59.730330313987814,,51.71981855223782,,86.58474680733389,,53.714960420508014,,101.1615748302136,,118.9812348018858,,55.22169323152062,,5.36172593802185,8.939,69.99773277260276,,147.48216020975389,,113.79021443133699,,94.22955539901419,,61.12112670734215,,37.65544380268208,42.957,78.69700360906444,,103.24727924686879,,20.824667302730617,23.766,29.29408334088736,35.384,59.88497050906982,,138.69022746637012,,419.0473480754245,,8.909901473715932,9.43,52.88369208385128,,82.35538330984824,,46.4508250800874,,486.85926067674495,,47.99629099248118,,0.0,,26.619013023912746,35.539,601.8105591318356,,232.3590395627788,,99.23212828313437,,80.85789361245473,,89.88051765220906,,134.95600314050336,,141.5733247174992,,40.48421369326532,,43.53867241507714,,81.10636043460401,,63.08018674778997,
Kafr Shukr,30.5470,31.2673,Al Minūfīyah,Egypt,54.486104424825974,,62.30918962131147,,148.0623048799212,,75.23143187763391,,46.445805402151684,,56.85990769792837,,78.42940908122675,,47.51664165031132,,124.53727956219883,,137.7749491150073,,36.640405314557555,51.145,22.432510709990122,45.073,95.96142706422924,,127.4403402131959,,94.76539158423675,,109.99423520929983,,35.58671115054223,49.629,12.56365726600629,14.833,68.41399528058035,,87.75092104700441,,32.17257470803487,59.43,19.095513495711078,26.793,33.27431507396945,45.249,124.6346740403079,,395.2117752091185,,33.793157889669246,59.117,75.58150860572681,,96.73787788448661,,71.49152481375576,,494.8477908594255,,29.940258572099985,34.831,26.619013023912746,50.21,0.0,,575.1915785142635,,220.1958309748821,,72.61489326384978,,103.41476490186442,,69.38481650124749,,112.22783428022721,,116.33048004086143,,54.02495947118259,,41.74434611349538,,107.50606038612968,,37.84338987981678,49.017
Sīwah,29.2000,25.5167,Maţrūḩ,Egypt,562.2095662535324,,558.5155160824507,,478.12826680772184,,530.5134349755001,,563.6911506515689,,601.2789926226745,,568.39148574687,,578.7370046168576,,689.7525735056547,,684.9945296854978,,557.3780993368777,,597.4164260414522,,669.6558899692761,,493.4360530408742,,519.1520603520484,,654.1821532615053,,542.2982636162794,,564.8652188883526,,564.1443862354076,,538.5399215940453,,600.1229364199243,,579.5606051876562,,541.9353684082142,,530.9266247386304,,288.45606511784484,308.384,608.4980604897916,,644.153139382829,,641.3223614503556,,644.2973644501357,,871.2099555152803,,562.6665266022268,,601.8105591318356,,575.1915785142635,,0.0,,524.6101018568318,,502.5825827433375,,668.2609096545216,,529.6418893903965,,487.29985000423835,,468.06453305905956,,613.7195405433409,,586.9527001850489,,682.1508542086779,,540.8543089101312,
Shārūnah,28.5940,30.8516,Al Minyā,Egypt,166.3804583980716,,158.31759677323657,212.168,302.6564503052552,,148.93849479218065,209.913,174.27425260190483,,277.05337656208627,,146.0590119820897,183.215,264.7695739363004,,325.2520474807066,,223.27699934112178,,243.1025238926332,,227.50888580583336,,259.64253786895426,,290.95337149674214,,274.7759543854012,,326.588465280605,,221.51926981061305,,209.57348080573044,,277.95264078515874,,281.8925126448407,,213.60064071102565,,238.91104706876322,,207.7297158332833,,313.98790510243134,,462.7330568755729,,240.8427529111005,,282.2343094946197,,314.48830920870654,,271.6996978175712,,366.27962810589815,,190.27355519486832,,232.3590395627788,,220.1958309748821,,524.6101018568318,,0.0,,200.70045975723698,,237.04359956908843,,254.52073619966282,,264.8833137173983,,242.35562382060522,,206.02473150482462,,189.38433813839134,,289.9939624573259,,193.58501482457694,
Madinat as-Sadat,30.383366727441985,30.53512881570091,Al Minūfīyah,Egypt,76.89809548612786,,78.5969975995497,,108.16794164036696,,62.31081473233414,,73.67492815987686,,109.82829935599673,,97.64035166755573,,88.57223901639034,,192.9019186571743,,197.91883087532912,,62.88068573496845,,94.85295440715016,,167.72647280840343,,92.70120313395408,,74.19611240251761,,168.06528409567525,,41.97826025014955,59.434,62.54964661109961,,88.82868092553454,,83.56489033424948,,99.19935137353312,,79.12520030389426,,39.35299289347681,55.386,113.40799216604375,,332.88384449249133,,106.10234834341271,,144.69347030998108,,154.0642034094662,,142.86626937417668,,522.0537268343293,,64.89059886882615,,99.23212828313437,,72.61489326384978,,502.5825827433375,,200.70045975723698,,0.0,,170.71349993036145,,56.69417292870637,81.003,67.83653563293156,,55.32082775647711,66.736,116.35451847607489,,91.93182551356198,,179.91299699014246,,40.743541012492635,66.334
Fayed,30.310783034558956,32.30868801186036,Ismailia,Egypt,106.78083970551995,,111.60483160185753,,249.3340122722209,,139.48463679647605,,104.64104748965461,,120.74209736461064,,107.37134778613455,,131.42259696304743,,104.15530936174062,,43.855109580946554,53.641,136.05914874139202,,82.70019915505715,,30.479231810275667,43.178,228.3342662989415,,194.5956807278247,,131.16774469332682,,138.84391456810692,,109.80732954651005,,156.8305924830909,,183.21444212856952,,72.28896654581894,,110.12627517388279,,133.31021361868255,,217.42056242388435,,498.62158818847604,,79.56220051831772,,84.51099691218737,,126.45459776597625,,71.55765947320421,,425.312723732937,,106.69624797492435,,80.85789361245473,,103.41476490186442,,668.2609096545216,,237.04359956908843,,170.71349993036145,,0.0,,170.683907500474,,215.25985404940837,,219.28526034175425,,54.84445734495714,79.437,81.3430830787498,,62.312038751419564,,130.15102454521463,
Itay Al Barud,30.88381922925288,30.656777204008733,El Beheira,Egypt,107.47201557695652,,112.81459508350154,,78.86808716291179,,108.22201352777422,,100.83504016680257,,71.81346742616913,,132.59830537314835,,49.59634337094101,,160.4506314959082,,206.96968672602452,,34.6756039968344,39.721,88.08158735972906,,157.73736299675875,,58.0928576349494,,25.869268525336143,33.019,125.7887268142086,,39.86484150854749,54.893,68.48135991820521,,36.86206388610865,93.925,27.39577656872713,44.925,101.43235356180965,,60.800993170948374,,53.29732330024055,,61.68850946195881,,330.3514373369851,,92.49951975219135,,117.36177862237385,,112.3797346836939,,120.73313777913941,,558.5724831348052,,84.54002055380549,,89.88051765220906,,69.38481650124749,,529.6418893903965,,254.52073619966282,,56.69417292870637,,170.683907500474,,0.0,,46.334899795019794,,61.688971795290065,,123.40976639317928,,107.74266255613576,,159.47035034246744,,66.94784390822825,
Abu Al Matamir,30.9090988082216,30.17302652255928,El Beheira,Egypt,139.3749124639957,,142.84288563731593,,40.482233934455934,,129.92579209087893,,134.228635999879,,116.6609479588978,,162.64538757668385,,95.17566541925186,,204.885323054609,,249.6317428251585,,80.32581474485163,,132.62435713219074,,203.70669306311976,,26.15702415354031,36.671,32.109290774337026,47.984,166.92901598103424,,77.9825555065359,,108.40469029739275,,77.16010496584212,,51.57667843331663,,144.29082859974915,,106.38286178724456,,87.81690903590098,,59.42298854151863,,284.30825662850145,,138.25461355507957,,163.29162876051174,,154.2677161857053,,167.03014840157903,,589.0290222746173,,120.47202813327989,,134.95600314050336,,112.22783428022721,,487.29985000423835,,264.8833137173983,,67.83653563293156,,215.25985404940837,,46.334899795019794,,0.0,,28.662021404625154,35.677,165.51610258552702,,146.39894033897508,,205.73531165065543,,98.17597921837692,
An Nubariyah,30.668867721981993,30.062372207973013,El Beheira,Egypt,131.97568084318223,,133.91070681056627,,60.50906116118091,,116.25098765035688,,128.22564806982402,,133.21672894870295,,152.92159116398665,,110.70628108730709,,221.75834743313,,250.06358579163836,,90.69379253473849,,138.30774496082935,,211.54903199691452,,52.78695645735803,102.261,57.279683250381964,134.11,187.26991438224027,,80.75457061680774,,109.59683637298009,,97.407594127904,,75.87088545530567,,147.03143648184107,,115.14511301426803,,86.50375931268735,,88.07830914284236,,280.03764273217297,,146.4339929370269,,177.2302062630968,,173.98124886782526,,179.02135079024086,,575.7596138579872,,117.3020218395594,,141.5733247174992,,116.33048004086143,,468.06453305905956,,242.35562382060522,,55.32082775647711,75.156,219.28526034175425,,61.688971795290065,,28.662021404625154,41.178,0.0,,166.64159138502077,,144.36137452683036,,217.7201543756439,,93.26767353060045,
10th of Ramadan City,30.282435419398077,31.739503868594248,Ash Sharqīyah,Egypt,54.31366019088704,,60.48155274560375,,202.02768745716202,,87.22282182162607,,50.829893908947646,,91.68678067276888,,62.547757743356875,,93.65165595782888,,119.23492416960069,,84.12145967222516,,90.1084471271411,,39.01985011201582,56.95,60.64134172995537,,181.45531595171414,,148.7264739379489,,125.99614261036656,,87.64134333200263,,57.40518397892564,,118.05497941712905,,140.643427639423,,22.306585591594,31.68,66.62362566263063,,80.14071366553898,,177.01994456095204,,446.64312109760294,,45.15158297750052,,78.15986069372683,,116.13045379600267,,66.43328524732976,,446.3775617828756,,51.90649877156013,,40.48421369326532,,54.02495947118259,,613.7195405433409,,206.02473150482462,,116.35451847607489,,54.84445734495714,,123.40976639317928,,165.51610258552702,,166.64159138502077,,0.0,,26.94745104521888,38.358,86.19512936023352,,75.64040332857707,
El Obour City,30.21431011558344,31.47073631737784,Al Qalyubia,Egypt,28.362954562948005,36.013,35.46660459602482,50.483,184.6675046307869,,60.83059717839675,,23.97565314602497,39.023,93.02565356140292,,43.332636245921314,,88.36183254182686,,138.70650534919056,,106.04315421352729,,77.59569047567209,,39.16671331401034,56.888,86.74126604988746,,164.7557228877473,,133.59752846328365,,137.46234750706373,,68.99998859454645,,39.268477951851914,65.286,110.1466598390389,,128.61172862083217,,24.260756317523594,31.618,59.427506015411765,,58.7654671070082,,165.65572201242574,,424.1555673248276,,51.668396739337666,,93.20947528067272,,125.84433289912548,,83.62669542771395,,453.2415326033068,,27.156120888798075,49.588,43.53867241507714,,41.74434611349538,,586.9527001850489,,189.38433813839134,,91.93182551356198,,81.3430830787498,,107.74266255613576,,146.39894033897508,,144.36137452683036,,26.94745104521888,39.682,0.0,,109.71367464097949,,51.4190587348237,
El-Qantara el-Sharqîya,30.87268473556138,32.3243998663778,Ismailia,Egypt,138.0275779738244,,145.136084857992,,232.70027741968832,,169.7442635447651,,132.65440559612694,,92.03891986615717,,148.72712470981966,,111.14712151913545,,42.016651932012586,75.905,102.42274111404987,,127.09844862899571,,85.94108008505245,,32.555036148009705,54.005,211.9315958312825,,178.57297445912232,,77.06306515248323,,139.9177886164502,,118.73921498226251,,133.67595437255434,,162.6455238421381,,88.49076245687132,,103.01719713957654,,140.7033711393739,,190.89454576875187,,488.3306863503001,,73.81664526051627,,44.018755106565386,78.397,77.14160662996944,,38.79195066773317,67.674,483.00161844310287,,126.10221704634186,,81.10636043460401,,107.50606038612968,,682.1508542086779,,289.9939624573259,,179.91299699014246,,62.312038751419564,,159.47035034246744,,205.73531165065543,,217.7201543756439,,86.19512936023352,,109.71367464097949,,0.0,,144.0093200497177,
Samadun,30.338093093041262,30.95571530793345,Al Minūfīyah,Egypt,41.514591398310905,,46.07955273834246,,137.92923974616775,,44.649255088266735,,36.05306541433878,48.151,88.92311436157338,,66.00550588231661,,72.56434155152529,,162.3726202011544,,157.4581908065618,,49.53902862035659,,58.0953762801861,,128.8039857086838,,119.29823956453517,,91.78321000486194,,145.43852149764024,,28.652210501627543,35.284,25.581573234834785,40.178,84.47032124256349,,92.6955326524975,,59.37023833426586,,51.51318738521404,,14.419060045537023,19.465,128.5596271230849,,372.7910388669431,,71.10123502490325,,113.4151129937316,,131.75015229872423,,109.07364109913087,,492.85156898414033,,24.268800126067905,62.66,63.08018674778997,,37.84338987981678,53.297,540.8543089101312,,193.58501482457694,,40.743541012492635,,130.15102454521463,,66.94784390822825,,98.17597921837692,,93.26767353060045,,75.64040332857707,,51.4190587348237,,144.0093200497177,,0.0,
