city,lat,lng,province,country,Cairo,Cairo_r,Giza,Giza_r,Alexandria,Alexandria_r,6th October city,6th October city_r,Shubrā al Khaymah,Shubrā al Khaymah_r,Al Manşūrah,Al Manşūrah_r,Ḩalwān,Ḩalwān_r,Al Maḩallah al Kubrá,Al Maḩallah al Kubrá_r,Port Said,Port Said_r,Suez,Suez_r,Ţanţā,Ţanţā_r,Az Zaqāzīq,Az Zaqāzīq_r,Ismailia,Ismailia_r,Kafr ad Dawwār,Kafr ad Dawwār_r,Damanhūr,Damanhūr_r,Damietta,Damietta_r,Shibīn al Kawm,Shibīn al Kawm_r,Banhā,Banhā_r,Kafr ash Shaykh,Kafr ash Shaykh_r,Disūq,Disūq_r,Bilbays,Bilbays_r,Mīt Ghamr,Mīt Ghamr_r,Munūf,Munūf_r,Rosetta,Rosetta_r,Maţrūḩ,Maţrūḩ_r,Hihyā,Hihyā_r,Şān al Ḩajar al Qiblīyah,Şān al Ḩajar al Qiblīyah_r,Fāraskūr,Fāraskūr_r,Al Ḩusaynīyah,Al Ḩusaynīyah_r,Safājā,Safājā_r,Qahā,Qahā_r,Hirrīyat Raznah,Hirrīyat Raznah_r,Kafr Shukr,Kafr Shukr_r,Sīwah,Sīwah_r,Shārūnah,Shārūnah_r,Madinat as-Sadat,Madinat as-Sadat_r,Fayed,Fayed_r,Itay Al Barud,Itay Al Barud_r,Abu Al Matamir,Abu Al Matamir_r,An Nubariyah,An Nubariyah_r,10th of Ramadan City,10th of Ramadan City_r,El Obour City,El Obour City_r,El-Qantara el-Sharqîya,El-Qantara el-Sharqîya_r,Samadun,Samadun_r
Ţanţā,30.7833,31.0000,Al Gharbīyah,Egypt,83.8340194423541,,90.59358798752844,,113.31361910921802,,94.18189680281645,,76.21653029579387,,47.08158899878627,,109.19944052606175,,25.837139992774897,27.819,133.0145643044627,,172.9620421568169,,0.0,,53.59389897262866,,123.38112254940813,,92.37151624685086,,58.931337968970674,,105.22648591390785,,23.272204243506533,29.31,39.488475867854845,41.866,35.43565731849234,45.285,51.14786714206365,,67.86269486381423,,26.147652551111,35.055,35.677044102991196,44.523,88.11898654988039,,364.6317553238151,,57.95596033892077,,86.842714382619,,91.23215641380447,,88.35365071620086,,530.7609749903961,,58.65954923986023,,55.22169323152062,,36.640405314557555,54.986,557.3780993368777,,243.1025238926332,,62.88068573496845,,136.05914874139202,,34.6756039968344,37.84,80.32581474485163,,90.69379253473849,,90.1084471271411,,77.59569047567209,,127.09844862899571,,49.53902862035659,
Az Zaqāzīq,30.5667,31.5000,Ash Sharqīyah,Egypt,61.905370981977015,,69.99125617310911,,166.88184988718146,,89.04515153993911,,54.526561745082326,,54.73302185288667,,81.91897541860943,,54.63283459981311,,106.51676413217153,,119.62662148281515,,53.59389897262866,,0.0,,73.56872402831698,,145.96219840813714,,112.4647733871468,,99.11251234836143,,57.62078337917404,,32.83072209184074,,79.1482229156968,,102.73536647074395,,17.819496414924952,19.798,28.33428546503783,,55.5114847702363,,138.62835368527246,,416.43466760083277,,14.247897936216333,16.241,58.23650168123339,,87.04490985047894,,51.73804476160231,,485.1468283692777,,42.63515228699025,,5.36172593802185,7.324,22.432510709990122,,597.4164260414522,,227.50888580583336,,94.85295440715016,,82.70019915505715,,88.08158735972906,,132.62435713219074,,138.30774496082935,,39.01985011201582,,39.16671331401034,,85.94108008505245,,58.0953762801861,
Ismailia,30.5833,32.2667,Al Ismā‘īlīyah,Egypt,114.79191279848818,,121.11957196603056,,234.8546945338939,,147.55031773475864,,110.64401452333718,,99.10738405910763,,121.71829559363542,,113.55517858254541,,73.932750508405,,73.00923771330044,,123.38112254940813,,73.56872402831698,,0.0,,213.77938426602446,,179.83693150170208,,101.71563727684205,,131.0866852100552,,105.17758820040615,,138.37091183840715,,166.30315847469325,,69.69101726348826,,97.39588652056001,,128.62262587987436,,198.38304408119856,,488.0083816076589,,65.52769845024994,,57.22180247367672,79.098,98.13063594460579,,45.36823485039065,68.376,454.8512706411001,,107.73321167154283,,69.99773277260276,,95.96142706422924,,669.6558899692761,,259.64253786895426,,167.72647280840343,,30.479231810275667,36.901,157.73736299675875,,203.70669306311976,,211.54903199691452,,60.64134172995537,,86.74126604988746,,32.555036148009705,59.527,128.8039857086838,
Kafr ad Dawwār,31.1417,30.1272,Al Buḩayrah,Egypt,160.8125254904926,,164.96399569775085,,21.08303859448406,30.679,154.11720605926408,,155.04728018908295,,120.27256299332859,,184.90774803725404,,101.09929274428947,,205.84189634849386,,265.05939197592323,,92.37151624685086,,145.96219840813714,,213.77938426602446,,0.0,,33.94930575435952,38.046,164.18407996123437,,95.79365254779856,,125.73916217361699,,78.6175121080427,,49.67288069128744,,159.52115763549136,,118.209209835771,,107.47590595218769,,40.04286974615553,,276.50154485295093,,149.38499441408393,,168.2891576486713,,152.66704756255817,,173.9227044954397,,611.8538855437813,,140.05839009321969,,147.48216020975389,,127.4403402131959,,493.4360530408742,,290.95337149674214,,92.70120313395408,,228.3342662989415,,58.0928576349494,,26.15702415354031,37.001,52.78695645735803,,181.45531595171414,,164.7557228877473,,211.9315958312825,,119.29823956453517,
Damanhūr,31.0500,30.4667,Al Buḩayrah,Egypt,132.80441364411652,,137.84656769471667,,55.03170040468334,,131.15318621095116,,126.35793606162053,,87.49325034179257,,157.73316239185442,,67.48199333644531,,174.63230299668493,,231.88773940353985,,58.931337968970674,,112.4647733871468,,179.83693150170208,,33.94930575435952,37.619,0.0,,135.31472865293577,,65.5524193727132,,94.33085073961605,,46.45296557333022,,19.472102693239336,23.862,126.59770540374554,,84.49619473288914,,78.59814633929278,,39.220676244745995,52.119,309.7691362085823,,115.48947420797063,,135.19943260944055,,122.9275592016453,,140.3338257880647,,584.1508800921076,,110.28770477131074,,113.79021443133699,,94.76539158423675,,519.1520603520484,,274.7759543854012,,74.19611240251761,,194.5956807278247,,25.869268525336143,33.417,32.109290774337026,39.188,57.279683250381964,,148.7264739379489,,133.59752846328365,,178.57297445912232,,91.78321000486194,
Damietta,31.4167,31.8214,Dumyāţ,Egypt,160.80965238794394,,168.9180210678468,,182.9014986046082,,185.17541179302242,,153.19146318669388,,58.267297562522806,85.554,180.7266946163263,,79.89457774791276,,47.686735548769164,54.789,174.62319745245253,,105.22648591390785,,99.11251234836143,,101.71563727684205,,164.18407996123437,,135.31472865293577,,0.0,,126.89662786489569,,122.24982588514798,,90.11903216552537,,116.16084243480114,,113.50957131954372,,93.92680019411921,,135.26165107833228,,133.33190655119728,,436.5252578572459,,85.81256959787758,,49.08068135316082,64.95,14.00285227032536,16.862,62.28864616855613,,556.437638672969,,139.00475190283058,,94.22955539901419,,109.99423520929983,,654.1821532615053,,326.588465280605,,168.06528409567525,,131.16774469332682,,125.7887268142086,,166.92901598103424,,187.26991438224027,,125.99614261036656,,137.46234750706373,,77.06306515248323,,145.43852149764024,
Shibīn al Kawm,30.5920,30.9000,Al Minūfīyah,Egypt,67.78486915383222,,73.47104836059107,,115.67902310009607,,72.75711003111715,,61.0025520417262,,68.67817175183038,,93.06922877518626,,48.75892750586766,,151.00775113794003,,171.75456548940238,,23.272204243506533,29.314,57.62078337917404,,131.0866852100552,,95.79365254779856,,65.5524193727132,,126.89662786489569,,0.0,,30.425683293322596,40.324,56.523066272608006,,64.4177151171644,,66.88507102470147,,37.52346915257297,74.384,14.25381447315047,18.008,100.79521232063597,,359.8131330657324,,66.73295907900813,,103.05334897826417,,112.90697868029274,,102.0562089229292,,518.7076769419814,,44.739796929213036,,61.12112670734215,,35.58671115054223,53.443,542.2982636162794,,221.51926981061305,,41.97826025014955,,138.84391456810692,,39.86484150854749,54.091,77.9825555065359,,80.75457061680774,,87.64134333200263,,68.99998859454645,,139.9177886164502,,28.652210501627543,35.269
Banhā,30.4628,31.1797,Al Qalyūbīyah,Egypt,45.450046427704486,,52.83584564930464,,145.87704759856194,,63.25894314697911,,37.53324862189624,45.296,67.95608092998347,,70.42081241292138,,55.878537445073015,,136.96159807516764,,141.44914701246773,,39.488475867854845,42.706,32.83072209184074,39.457,105.17758820040615,,125.73916217361699,,94.33085073961605,,122.24982588514798,,30.425683293322596,41.19,0.0,,73.98615066130252,,89.86128612524844,,37.524095971996445,55.096,29.521351560682835,39.947,23.66660561928087,37.409,126.91878766807682,,389.41982909656355,,45.534828186281445,,88.0207424440522,,108.87414222371329,,83.49290463285682,,491.6349599150364,,19.994589404633384,25.128,37.65544380268208,44.594,12.56365726600629,19.006,564.8652188883526,,209.57348080573044,,62.54964661109961,,109.80732954651005,,68.48135991820521,,108.40469029739275,,109.59683637298009,,57.40518397892564,,39.268477951851914,66.932,118.73921498226251,,25.581573234834785,41.178
Kafr ash Shaykh,31.1000,30.9500,Kafr ash Shaykh,Egypt,119.0117378441374,,125.92019316827941,,99.15120400970147,,129.05044086269947,,111.27704109639245,,41.71948788390786,,144.27022539480006,,25.425074746641364,34.735,128.18528670662988,,197.15493252239656,,35.43565731849234,41.784,79.1482229156968,,138.37091183840715,,78.6175121080427,,46.45296557333022,,90.11903216552537,,56.523066272608006,,73.98615066130252,,0.0,,29.01865039391449,35.441,96.0467842962989,,51.73506296211236,,70.22947602939713,,60.58998507917649,,355.08186919100507,,77.69241023216053,,89.82591017307766,,77.18992966267228,,96.27390728934581,,562.9121474376259,,93.65735354540514,,78.69700360906444,,68.41399528058035,,564.1443862354076,,277.95264078515874,,88.82868092553454,,156.8305924830909,,36.86206388610865,76.402,77.16010496584212,,97.407594127904,,118.05497941712905,,110.1466598390389,,133.67595437255434,,84.47032124256349,
Disūq,31.1308,30.6479,Kafr ash Shaykh,Egypt,131.95931349465775,,137.86208006943286,,70.13269187299342,,135.12522829799846,,124.86351337433636,,70.73690493130609,,157.34871554330647,,52.75863781938416,,156.4342676519508,,222.213667125958,,51.14786714206365,,102.73536647074395,,166.30315847469325,,49.67288069128744,,19.472102693239336,25.284,116.16084243480114,,64.4177151171644,,89.86128612524844,,29.01865039391449,36.52,0.0,,118.33732785489045,,74.40732104495409,,78.52924515033537,,37.06384948029684,49.334,326.0770750382967,,103.65235794843177,,118.8353193124947,,104.0027389774804,,125.02523051722275,,581.49372745277,,107.81979292519674,,103.24727924686879,,87.75092104700441,,538.5399215940453,,281.8925126448407,,83.56489033424948,,183.21444212856952,,27.39577656872713,46.8,51.57667843331663,,75.87088545530567,,140.643427639423,,128.61172862083217,,162.6455238421381,,92.6955326524975,
